ROW,ACADEMIC_PERIOD,STUDENT_LEVEL,MODALITY_DESC
976,202310,GR,Face-To-Face
977,202310,GR,Both
978,202310,GR,Online
979,202310,UG,Online
980,202310,GR,Online
981,202310,UG,Online
982,202310,UG,Face-To-Face
983,202310,UG,Online
984,202310,UG,Face-To-Face
985,202310,GR,Both
986,202310,UG,Both
987,202310,UG,Online
988,202310,UG,Face-To-Face
989,202310,UG,Online
990,202310,GR,Online
991,202310,GR,Online
992,202310,UG,Face-To-Face
993,202310,UG,Online
994,202310,UG,Online
995,202310,GR,Online
996,202310,UG,Online
997,202310,UG,Both
998,202310,UG,Face-To-Face
999,202310,GR,Face-To-Face
1000,202310,UG,Online
1001,202310,UG,Face-To-Face
1002,202310,UG,Online
1003,202310,UG,Online
1004,202310,UG,Online
1005,202310,UG,Online
1006,202310,UG,Online
1007,202310,GR,Face-To-Face
1008,202310,GR,Online
1009,202310,GR,Online
1010,202310,UG,Face-To-Face
1011,202310,GR,Face-To-Face
1012,202310,UG,Face-To-Face
1013,202310,GR,Online
1014,202310,UG,Online
1015,202310,UG,Online
1016,202310,GR,Face-To-Face
1017,202310,GR,Online
1018,202310,UG,Online
1019,202310,UG,Both
1020,202310,UG,Face-To-Face
1021,202310,GR,Face-To-Face
1022,202310,GR,Online
1023,202310,UG,Online
1024,202310,GR,Online
1025,202310,UG,Both
1026,202310,GR,Face-To-Face
1027,202310,GR,Online
1028,202310,GR,Face-To-Face
1029,202310,GR,Both
1030,202310,UG,Face-To-Face
1031,202310,UG,Face-To-Face
1032,202310,UG,Face-To-Face
1033,202310,UG,Online
1034,202310,UG,Both
1035,202310,UG,Both
1036,202310,UG,Online
1037,202310,UG,Both
1038,202310,UG,Online
1039,202310,GR,Online
1040,202310,GR,Online
1041,202310,UG,Online
1042,202310,UG,Face-To-Face
1043,202310,UG,Online
1044,202310,UG,Face-To-Face
1045,202310,UG,Face-To-Face
1046,202310,UG,Online
1047,202310,UG,Online
1048,202310,GR,Online
1049,202310,UG,Online
1050,202310,GR,Both
1051,202310,GR,Online
1052,202310,UG,Online
1053,202310,GR,Online
1054,202310,UG,Both
1055,202310,GR,Online
1056,202310,UG,Online
1057,202310,UG,Both
1058,202310,UG,Online
1059,202310,GR,Online
1060,202310,GR,Online
1061,202310,UG,Online
1062,202310,GR,Online
1063,202310,UG,Face-To-Face
1064,202310,UG,Both
1065,202310,GR,Online
1066,202310,GR,Face-To-Face
1067,202310,UG,Online
1068,202310,UG,Both
1069,202310,GR,Face-To-Face
1070,202310,UG,Both
1071,202310,UG,Online
1072,202310,GR,Online
1073,202310,GR,Online
1074,202310,UG,Online
1075,202310,GR,Online
1076,202310,UG,Online
1077,202310,UG,Online
1078,202310,GR,Online
1079,202310,UG,Face-To-Face
1080,202310,UG,Face-To-Face
1081,202310,GR,Online
1082,202310,GR,Online
1083,202310,UG,Online
1084,202310,GR,Face-To-Face
1085,202310,GR,Online
1086,202310,UG,Online
1087,202310,UG,Online
1088,202310,GR,Face-To-Face
1089,202310,GR,Online
1090,202310,UG,Online
1091,202310,UG,Face-To-Face
1092,202310,GR,Online
1093,202310,UG,Online
1094,202310,UG,Both
1095,202310,UG,Face-To-Face
1096,202310,UG,Online
1097,202310,UG,Both
1098,202310,GR,Online
1099,202310,GR,Online
1100,202310,UG,Online
1101,202310,UG,Online
1102,202310,GR,Online
1103,202310,GR,Online
1104,202310,UG,Face-To-Face
1105,202310,GR,Online
1106,202310,GR,Both
1107,202310,UG,Online
1108,202310,GR,Online
1109,202310,UG,Online
1110,202310,GR,Online
1111,202310,GR,Face-To-Face
1112,202310,GR,Online
1113,202310,UG,Online
1114,202310,GR,Both
1115,202310,GR,Both
1116,202310,UG,Both
1117,202310,GR,Face-To-Face
1118,202310,GR,Face-To-Face
1119,202310,GR,Online
1120,202310,GR,Face-To-Face
1121,202310,UG,Face-To-Face
1122,202310,UG,Face-To-Face
1123,202310,UG,Face-To-Face
1124,202310,GR,Face-To-Face
1125,202310,GR,Online
1126,202310,UG,Face-To-Face
1127,202310,GR,Face-To-Face
1128,202310,UG,Face-To-Face
1129,202310,GR,Face-To-Face
1130,202310,UG,Online
1131,202310,GR,Both
1132,202310,UG,Online
1133,202310,GR,Online
1134,202310,GR,Online
1135,202310,UG,Online
1136,202310,GR,Both
1137,202310,GR,Face-To-Face
1138,202310,GR,Face-To-Face
1139,202310,UG,Both
1140,202310,UG,Online
1141,202310,GR,Online
